,image,subject,contrast,hemi,view
63,s05/tstat02_walking_rest.nii.gz.s05.lh_medial.png,s05,walking_rest,lh,medial
64,s05/tstat02_walking_rest.nii.gz.s05.rh_medial.png,s05,walking_rest,rh,medial
65,s05/tstat01_turning_rest.nii.gz.s05.lh_lateral.png,s05,turning_rest,lh,lateral
66,s06/tstat01_turning_rest.nii.gz.s06.lh_lateral.png,s06,turning_rest,lh,lateral
67,s06/tstat04_turning_walking.nii.gz.s06.lh_lateral.png,s06,turning_walking,lh,lateral
68,s06/tstat03_imagine_rest.nii.gz.s06.rh_lateral.png,s06,imagine_rest,rh,lateral
69,s06/tstat02_walking_rest.nii.gz.s06.lh_lateral.png,s06,walking_rest,lh,lateral
70,s06/SMA_imagine_rest.nii.gz.s06.lh_lateral.png,s06,imagine_rest,lh,lateral
71,s06/SMA_imagine_rest.nii.gz.s06.lh_dorsal.png,s06,imagine_rest,lh,dorsal
72,s06/SMA_imagine_rest.nii.gz.s06.rh_dorsal.png,s06,imagine_rest,rh,dorsal
73,s06/SMA_imagine_rest.nii.gz.s06.rh_medial.png,s06,imagine_rest,rh,medial
74,s06/SMA_imagine_rest.nii.gz.s06.lh_medial.png,s06,imagine_rest,lh,medial
75,s06/tstat01_turning_rest.nii.gz.s06.rh_lateral.png,s06,turning_rest,rh,lateral
76,s06/tstat04_turning_walking.nii.gz.s06.rh_medial.png,s06,turning_walking,rh,medial
77,s06/tstat04_turning_walking.nii.gz.s06.lh_medial.png,s06,turning_walking,lh,medial
78,s06/tstat01_turning_rest.nii.gz.s06.rh_medial.png,s06,turning_rest,rh,medial
79,s06/tstat03_imagine_rest.nii.gz.s06.lh_medial.png,s06,imagine_rest,lh,medial
80,s06/tstat01_turning_rest.nii.gz.s06.lh_medial.png,s06,turning_rest,lh,medial
81,s06/tstat03_imagine_rest.nii.gz.s06.rh_medial.png,s06,imagine_rest,rh,medial
82,s06/SMA_imagine_rest.nii.gz.s06.rh_lateral.png,s06,imagine_rest,rh,lateral
83,s06/tstat02_walking_rest.nii.gz.s06.rh_lateral.png,s06,walking_rest,rh,lateral
84,s06/tstat03_imagine_rest.nii.gz.s06.lh_lateral.png,s06,imagine_rest,lh,lateral
85,s06/tstat04_turning_walking.nii.gz.s06.rh_lateral.png,s06,turning_walking,rh,lateral
86,s06/tstat02_walking_rest.nii.gz.s06.lh_medial.png,s06,walking_rest,lh,medial
87,s06/tstat02_walking_rest.nii.gz.s06.rh_medial.png,s06,walking_rest,rh,medial
88,s07/tstat03_imagine_rest.nii.gz.s07.rh_lateral.png,s07,imagine_rest,rh,lateral
89,s07/tstat01_turning_rest.nii.gz.s07.lh_medial.png,s07,turning_rest,lh,medial
90,s07/tstat03_imagine_rest.nii.gz.s07.rh_medial.png,s07,imagine_rest,rh,medial
91,s07/tstat01_turning_rest.nii.gz.s07.rh_medial.png,s07,turning_rest,rh,medial
92,s07/tstat03_imagine_rest.nii.gz.s07.lh_medial.png,s07,imagine_rest,lh,medial
93,s07/tstat02_walking_rest.nii.gz.s07.lh_lateral.png,s07,walking_rest,lh,lateral
94,s07/tstat04_turning_walking.nii.gz.s07.lh_medial.png,s07,turning_walking,lh,medial
95,s07/tstat04_turning_walking.nii.gz.s07.rh_medial.png,s07,turning_walking,rh,medial
96,s07/tstat04_turning_walking.nii.gz.s07.rh_lateral.png,s07,turning_walking,rh,lateral
97,s07/SMA_imagine_rest.nii.gz.s07.lh_medial.png,s07,imagine_rest,lh,medial
98,s07/SMA_imagine_rest.nii.gz.s07.rh_medial.png,s07,imagine_rest,rh,medial
99,s07/tstat01_turning_rest.nii.gz.s07.lh_lateral.png,s07,turning_rest,lh,lateral
100,s07/SMA_imagine_rest.nii.gz.s07.rh_lateral.png,s07,imagine_rest,rh,lateral
101,s07/tstat02_walking_rest.nii.gz.s07.rh_medial.png,s07,walking_rest,rh,medial
102,s07/tstat02_walking_rest.nii.gz.s07.lh_medial.png,s07,walking_rest,lh,medial
103,s07/SMA_imagine_rest.nii.gz.s07.rh_dorsal.png,s07,imagine_rest,rh,dorsal
104,s07/SMA_imagine_rest.nii.gz.s07.lh_dorsal.png,s07,imagine_rest,lh,dorsal
